	Node	Degree-Centrality	Betweenness-Centrality
0	Abg. Luckmann	0.35000000000000003	0.0
1	Abg. Anton GrafAuerSperg	0.1875	0.0
2	Abg. Freih. v. Apfaltern	0.48750000000000004	0.003707007647936415
3	Abg. Dr. Tom an	0.4375	0.004922644163150496
4	Abg. Dr. BleiwciS	0.3125	0.0
5	Abg. Dr. Recher	0.3125	0.0
6	Abg. Ambrofch	0.23750000000000002	0.0
7	Abg. Baron Apfaltcrn	0.25	0.0
8	Abg. Krom er	0.6125	0.008911414869041047
9	Abg. Guttman	0.5375	0.009727700639144372
10	Abg. Gutlman	0.35000000000000003	0.0
11	Abg. Ob resa	0.48750000000000004	0.003707007647936415
12	Abg. v. Wurzbach	0.625	0.019349910745489852
13	Abg. Dr. Blei weis	0.3375	0.0002767354443442933
14	Abg. Baron Apfaltern	0.8625	0.033822472057021276
15	Abg. Dr. Blciwe is	0.1875	0.0
16	Abg. Am b rosch	0.35000000000000003	0.0
17	LandeS-Chef	0.625	0.01947908833546828
18	Abg. Koren	0.5375	0.00752108064124531
19	Abg. Dr. Blciweis	0.35000000000000003	0.0
20	Abg. Pinter	0.35000000000000003	0.0
21	Abg. Kromer	0.8625	0.033822472057021276
22	Abg. Anton Graf AuerSperg	0.3125	0.0
23	Abg. Luckmaun	0.35000000000000003	0.0
24	Abg. P int er	0.35000000000000003	0.0
25	Abg. Baron Apfal tern	0.25	0.0
26	Abg. ».Strahl	0.35000000000000003	0.0
27	Abg. Baron Apsaltern	0.35000000000000003	0.0
28	Abg. Brolich	0.7125	0.019508721461625092
29	Abg. Vi l har	0.35000000000000003	0.0
30	Abg. Dr. Bleiweiö	0.6000000000000001	0.008435784243706309
31	Präsident	1.0	0.07837403424307707
32	Abg. Dr. v. Wurzbach	0.5125000000000001	0.007053681479225896
33	Abg. Dr. Suppan	0.9625	0.05805456468310125
34	Abg. Am drosch	0.5875	0.009305350868656498
35	Abg. Ambrosch seinen Antrag)	0.35000000000000003	0.0
36	Abg. Suppan	0.1875	0.0
37	Abg. BleiwciS	0.3125	0.0
38	Abg. Mulley	0.42500000000000004	0.0044379206802638085
39	Abg. Baron Apfoltern	0.35000000000000003	0.0
40	Abg. Gollo b	0.15000000000000002	0.0
41	Abg. Ambrvsch	0.1	0.0
42	Abg. Ambrosch	0.9625	0.05805456468310125
43	Abg. Frhr. v. Apsaltern	0.1875	0.0
44	Abg. Baron A Psaltern	0.48750000000000004	0.003707007647936415
45	Abg. Anton Graf Anersperg	0.1875	0.0
46	Abg. Dr. BleiweiS	0.8500000000000001	0.03952925446529936
47	Abg. Baron Ap faltern	0.1875	0.0
48	Abg. Vilhar	0.3875	0.002578284785401397
49	Abg. v. Langer	0.4	0.0033470823539917508
50	Abg. Derbitsch	0.5750000000000001	0.011859537542993348
51	Abg. Dr. Bletweis	0.35000000000000003	0.0
52	Abg. Dr. Bleiweis	0.9	0.044730125254324446
53	Abg. Dr Suppan	0.35000000000000003	0.0
54	Abg. Freiherr von APsaltern	0.3125	0.0
55	Abg. Dr. Bl ciweis	0.23750000000000002	0.0
56	Abg. Freih. v. APsaltern	0.35000000000000003	0.0
57	Abg. Dr. v. Wurzbach)	0.25	0.0
58	Abg. Frhr. v. Apfaltern	0.35000000000000003	0.0
59	Abg. Baron APsaltern	0.5875	0.009305350868656498
60	Abg. Dr. Toman	0.8125	0.034661237356060554
61	Abg. Anton Graf Auersperg	0.65	0.018522721113748454
62	Abg. v. Strahl	0.7125	0.019508721461625092
63	Abg. A mbrosch	0.35000000000000003	0.0
64	Abg. Baron Apfaltern (fährtfort)	0.35000000000000003	0.0
65	Landesches	0.23750000000000002	0.0
66	Landes-Chef	0.55	0.0074634854506947425
67	Abg. Ambro sch	0.23750000000000002	0.0
68	Abg. Ambrosch (fährt fort)	0.35000000000000003	0.0
69	Abg. Deschmann	0.5875	0.010302376880863667
70	Abg. G uttman	0.1875	0.0
71	Abg. Dr. Snppan	0.35000000000000003	0.0
72	Abg. Graf Anton AuerSperg	0.35000000000000003	0.0
73	Abg. Deschma nn	0.15000000000000002	0.0
74	Abg.Baron Apfaltern	0.35000000000000003	0.0
75	Abg. Dr. Bleiwc is	0.3125	0.0
76	Abg. KoSler	0.3125	0.0
77	Dräsidcnl	0.15000000000000002	0.0
78	Abg. Deschmanu	0.25	0.0
79	Abg. Dr. Wurzbach	0.35000000000000003	0.0
80	Abg. Freist, v. Apfaltern	0.35000000000000003	0.0
